,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,5412272,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,breathin,"Ariana Grande",3335950,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
3,"God is a woman","Ariana Grande",3304180,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
4,"Girls Like You (feat. Cardi B)","Maroon 5",3152167,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"No Brainer","DJ Khaled",3109770,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
6,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3031936,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
7,"Lucid Dreams","Juice WRLD",2939354,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"SICKO MODE","Travis Scott",2801030,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
9,"Eastside (with Halsey & Khalid)","benny blanco",2789680,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,"I Like It","Cardi B",2711762,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
11,"In My Mind",Dynoro,2645812,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
12,"Taste (feat. Offset)",Tyga,2471391,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,SAD!,XXXTENTACION,2411621,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
14,"Solo (feat. Demi Lovato)","Clean Bandit",2350199,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
15,"no tears left to cry","Ariana Grande",2272128,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
16,Rise,"Jonas Blue",2269532,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,"Jackie Chan",Tiësto,2227897,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"Better Now","Post Malone",2169582,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,Youngblood,"5 Seconds of Summer",2101196,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,"Te Boté - Remix","Nio Garcia",2066308,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
21,"One Kiss (with Dua Lipa)","Calvin Harris",2019431,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
22,"Promises (with Sam Smith)","Calvin Harris",1952419,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
23,"Body (feat. brando)","Loud Luxury",1919084,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
24,STARGAZING,"Travis Scott",1817791,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
25,"Vaina Loca",Ozuna,1753592,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
26,Moonlight,XXXTENTACION,1753057,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
27,everytime,"Ariana Grande",1743240,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
28,Nonstop,Drake,1720372,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
29,"Sin Pijama","Becky G",1672200,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
30,"God's Plan",Drake,1640848,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
31,sweetener,"Ariana Grande",1629820,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
32,"Happy Now",Zedd,1496550,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
33,"No Es Justo","J Balvin",1482717,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
34,"Beautiful (feat. Camila Cabello)",Bazzi,1458758,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
35,2002,Anne-Marie,1426514,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
36,Nevermind,"Dennis Lloyd",1360131,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
37,"Be Alright","Dean Lewis",1350446,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
38,"rockstar (feat. 21 Savage)","Post Malone",1344990,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,"Jocelyn Flores",XXXTENTACION,1332307,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
40,"Psycho (feat. Ty Dolla $ign)","Post Malone",1308109,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
41,R.E.M,"Ariana Grande",1283644,https://open.spotify.com/track/1xWH8zYtDeS9mW1JJG23VZ
42,"Nice For What",Drake,1281999,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
43,"Born To Be Yours",Kygo,1270599,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
44,Clandestino,Shakira,1268468,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
45,changes,XXXTENTACION,1258059,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
46,Shotgun,"George Ezra",1249471,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
47,Happier,Marshmello,1247755,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
48,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1231840,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
49,"Praise The Lord (Da Shine)","A$AP Rocky",1207478,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
50,"goodnight n go","Ariana Grande",1190424,https://open.spotify.com/track/14kYOiFVPb7E7NfFbqhdln
51,"Ocean (feat. Khalid)","Martin Garrix",1160413,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
52,"pete davidson","Ariana Grande",1140187,https://open.spotify.com/track/0XOnMqLQDO89iAg7dWWwnG
53,"raindrops (an angel cried)","Ariana Grande",1116399,https://open.spotify.com/track/0v2LUO8oTHnkjQ8MmKuXyk
54,"Shape of You","Ed Sheeran",1089199,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
55,"I'm a Mess","Bebe Rexha",1072302,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
56,"Don’t Matter To Me (with Michael Jackson)",Drake,1047700,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
57,successful,"Ariana Grande",1040530,https://open.spotify.com/track/5YeHLHDdQ4nKHk81XFWhCU
58,"the light is coming (feat. Nicki Minaj)","Ariana Grande",1027193,https://open.spotify.com/track/0sdbFOyfgAhAhWq8DpzkaW
59,"Yes Indeed","Lil Baby",1016223,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
60,"X - Remix","Nicky Jam",1011570,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
61,"High Hopes","Panic! At The Disco",1009500,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
62,SWISH,Tyga,1008536,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
63,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1006024,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
64,X,"Nicky Jam",993664,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
65,"better off","Ariana Grande",991344,https://open.spotify.com/track/3NbTQ8ZbHU6MSEVUFAVCJ9
66,FRIENDS,Marshmello,982601,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
67,"Me Niego",Reik,975101,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
68,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",974946,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
69,"The Middle",Zedd,974241,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
70,Havana,"Camila Cabello",958769,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
71,IDGAF,"Dua Lipa",958034,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
72,Natural,"Imagine Dragons",944819,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
73,"get well soon","Ariana Grande",944374,https://open.spotify.com/track/7u6DMPznGbpziuEgCE0JGQ
74,"blazed (feat. Pharrell Williams)","Ariana Grande",942553,https://open.spotify.com/track/4mLkiFppf8Xvem6BSY34qw
75,Asesina,Brytiago,918422,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
76,"lovely (with Khalid)","Billie Eilish",914038,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
77,"Look Alive (feat. Drake)","BlocBoy JB",912194,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
78,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",896225,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
79,"La Player (Bandolera)","Zion & Lennox",896090,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
80,Believer,"Imagine Dragons",892324,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
81,"Cuando Te Besé","Becky G",887969,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
82,Darkside,"Alan Walker",873970,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
83,"All Girls Are The Same","Juice WRLD",864663,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
84,"Taking A Walk","Trippie Redd",864464,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
85,"borderline (feat. Missy Elliott)","Ariana Grande",858595,https://open.spotify.com/track/4b7mLZQWsy0rLnrMtPA9fQ
86,"No Me Acuerdo",Thalía,853105,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
87,"Thunderclouds with Sia, Diplo & Labrinth",Sia,833781,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
88,"New Rules","Dua Lipa",833125,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
89,Thunder,"Imagine Dragons",831508,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
90,"Lean Wit Me","Juice WRLD",828814,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
91,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",822896,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
92,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,821971,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
93,Perfect,"Ed Sheeran",818498,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
94,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",816564,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
95,Unica,Ozuna,802159,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
96,"Por Perro","Sebastian Yatra",799833,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
97,"Everybody Dies In Their Nightmares",XXXTENTACION,796759,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
98,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,795762,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
99,"Mala Mía",Maluma,781115,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
100,"Estamos Bien","Bad Bunny",771450,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
